Time (h);150 uM;150 uM;100 uM;100 uM;100 uM;50 uM;50 uM;50 uM;25 uM;25 uM;25 uM
0;2603;2515;1956;1853;2037;1407;1430;1443;1390;1392;1417
0.16666667;3214;3129;2106;2016;2174;1412;1425;1446;1377;1387;1414
0.33333333;3965;3843;2232;2134;2325;1419;1420;1445;1374;1388;1414
0.5;4787;4605;2408;2276;2445;1421;1425;1458;1388;1389;1417
0.66666667;5527;5261;2534;2431;2573;1439;1433;1458;1381;1397;1417
0.83333333;6161;5955;2709;2563;2720;1438;1443;1476;1380;1387;1418
1;6972;6825;2830;2687;2853;1445;1455;1484;1374;1388;1416
1.16666667;7904;7834;3118;3022;3355;1457;1454;1480;1383;1387;1415
1.33333333;8443;8606;3248;3300;3523;1463;1454;1483;1381;1390;1414
1.5;8923;8992;3580;3511;3706;1469;1461;1489;1377;1391;1418
1.66666667;9183;9249;4417;3894;4036;1479;1474;1498;1379;1394;1404
1.83333333;9399;9543;4771;4166;4390;1468;1475;1507;1380;1389;1410
2;9612;9715;4997;4522;4789;1487;1489;1526;1381;1393;1418
2.16666667;9855;9970;5267;4857;5105;1498;1503;1533;1380;1390;1413
2.33333333;10048;10158;5510;5040;5313;1498;1508;1533;1389;1390;1417
2.5;10187;10192;5823;5313;5644;1520;1519;1556;1394;1390;1418
2.66666667;10166;10397;5947;5541;5856;1526;1524;1568;1392;1399;1408
2.83333333;10462;10528;6201;5754;6104;1544;1539;1588;1383;1397;1417
3;10421;10625;6298;5969;6264;1547;1548;1612;1377;1389;1407
3.16666667;10727;10723;6586;6131;6497;1582;1575;1631;1393;1392;1417
3.33333333;10836;10760;6662;6294;6631;1617;1584;1657;1385;1387;1418
3.5;10772;11004;6749;6364;6834;1688;1612;1686;1394;1397;1421
3.66666667;10930;10986;6875;6505;6880;1741;1663;1751;1382;1393;1409
3.83333333;11112;11156;7029;6642;7021;1844;1729;1813;1390;1386;1413
4;11112;11092;7138;6611;7227;1934;1800;1919;1390;1397;1413
4.16666667;11164;11308;7260;6719;7409;2043;1894;2018;1390;1389;1421
4.33333333;11273;11336;7351;6895;7593;2126;1994;2118;1401;1386;1426
4.5;11351;11353;7493;6983;7993;2233;2087;2213;1386;1392;1425
4.66666667;11550;11533;7728;7070;8098;2302;2160;2301;1406;1384;1417
4.83333333;11549;11555;7840;7166;8294;2386;2237;2381;1404;1393;1417
5;11704;11831;7931;7338;8468;2458;2318;2466;1394;1397;1438
5.16666667;11684;11721;8064;7352;8585;2540;2391;2577;1409;1406;1428
5.33333333;11724;11769;8136;7538;8763;2636;2477;2676;1411;1390;1423
5.5;11883;11774;8267;7648;8866;2702;2580;2743;1407;1393;1423
5.66666667;11938;11869;8353;7610;8939;2820;2669;2811;1414;1401;1423
5.83333333;12038;11821;8450;7665;8988;2940;2769;2867;1413;1387;1424
6;12079;12039;8555;7747;9050;3045;2865;2936;1421;1412;1446
6.16666667;12145;12000;8607;7860;9130;3179;2990;2986;1411;1402;1437
6.33333333;12256;11997;8729;7933;9095;3293;3106;3046;1426;1401;1430
6.5;12224;12089;8888;7981;9166;3374;3203;3135;1431;1403;1434
6.66666667;12347;12066;8842;7994;9195;3490;3341;3212;1429;1392;1438
6.83333333;12254;12225;9100;8091;9114;3580;3482;3311;1436;1403;1435
7;12202;12217;9163;8176;9147;3679;3579;3396;1434;1412;1439
7.16666667;12393;12270;9178;8250;9161;3769;3686;3473;1443;1402;1435
7.33333333;12420;12296;9217;8251;9178;3872;3801;3543;1458;1413;1450
7.5;12380;12147;9258;8295;9104;3991;3903;3605;1457;1393;1453
7.66666667;12459;12373;9246;8256;9148;4070;3991;3660;1470;1406;1445
7.83333333;12404;12326;9305;8371;9092;4153;4076;3734;1463;1413;1454
8;12459;12314;9332;8331;9119;4224;4093;3782;1469;1413;1457
8.16666667;12440;12311;9254;8469;9040;4304;4157;3835;1470;1411;1458
8.33333333;12531;12517;9297;8456;9083;4379;4188;3850;1480;1407;1462
8.5;12518;12379;9316;8392;9121;4464;4239;3865;1506;1416;1471
8.66666667;12550;12422;9333;8534;9122;4480;4268;3932;1493;1410;1473
8.83333333;12449;12407;9385;8553;9045;4535;4256;3935;1515;1413;1480
9;12534;12422;9367;8573;9112;4583;4295;3986;1526;1404;1480
9.16666667;12593;12538;9351;8573;9101;4655;4336;3976;1537;1412;1487
9.33333333;12570;12555;9380;8656;9218;4655;4379;4004;1544;1405;1496
9.5;12480;12583;9454;8662;9172;4728;4329;4011;1560;1415;1509
9.66666667;12436;12613;9483;8677;9173;4716;4308;4027;1579;1418;1508
9.83333333;12528;12624;9565;8726;9234;4738;4337;4052;1601;1418;1520
10;12523;12780;9671;8745;9225;4757;4334;4047;1626;1435;1540
10.1666667;12587;12676;9731;8738;9207;4747;4305;4066;1633;1428;1533
10.3333333;12593;12726;9829;8747;9165;4801;4343;4086;1648;1433;1550
10.5;12507;12672;9910;8784;9180;4815;4345;4093;1665;1436;1557
10.6666667;12599;12636;9987;8744;9113;4811;4307;4084;1701;1435;1572
10.8333333;12617;12678;10046;8726;9180;4838;4299;4079;1706;1445;1578
11;12598;12677;10117;8750;9103;4825;4278;4057;1730;1442;1590
