time / h	Ab42_rep1_5uM	Ab42_rep2_5uM	Ab42_rep3_5uM	Ab42_rep4_5uM	Ab42_rep1_4uM	Ab42_rep2_4uM	Ab42_rep3_4uM	Ab42_rep4_4uM	Ab42_rep1_3.5uM	Ab42_rep2_3.5uM	Ab42_rep3_3.5uM	Ab42_rep4_3.5uM	Ab42_rep1_3uM	Ab42_rep2_3uM	Ab42_rep3_3uM	Ab42_rep4_3uM	Ab42_rep1_2.5uM	Ab42_rep2_2.5uM	Ab42_rep3_2.5uM	Ab42_rep4_2.5uM	Ab42_rep1_2uM	Ab42_rep2_2uM	Ab42_rep3_2uM	Ab42_rep4_2uM	Ab42_rep1_1.75uM	Ab42_rep2_1.75uM	Ab42_rep3_1.75uM	Ab42_rep4_1.75uM	Ab42_rep1_1.5uM	Ab42_rep2_1.5uM	Ab42_rep3_1.5uM	Ab42_rep4_1.5uM	Ab42_rep1_1.35uM	Ab42_rep2_1.35uM	Ab42_rep3_1.35uM	Ab42_rep4_1.35uM	Ab42_rep1_1.1uM	Ab42_rep2_1.1uM	Ab42_rep3_1.1uM	Ab42_rep4_1.1uM
0	3831	3741	3777	4030	3706	3776	3697	3594	3624	3797	3887	3749	3881	3907	4116	3990	3729	3699	3924	3608	3777	3730	3836	3790	3814	3736	3655	3782	3768	3663	3797	3714	3927	3718	3977	3739	3810	3688	3904	3660
0.095278 3569 	3569	3319	3282	3442	3365	3354	3352	3386	3411	3567	3582	3504	3457	3540	3525	3580	3469	3423	3574	3313	3467	3395	3494	3458	3480	3393	3490	3525	3447	3418	3398	3337	3678	3427	3711	3592	3502	3465	3541	3388
0.19056	3607	3349	3208	3439	3360	3250	3295	3353	3429	3318	3319	3269	3333	3269	3492	3401	3471	3336	3565	3326	3388	3356	3323	3350	3400	3314	3228	3327	3416	3339	3272	3350	3446	3279	3477	3380	3548	3342	3517	3290
0.28583	3597	3339	3381	3472	3368	3251	3182	3255	3300	3444	3360	3338	3296	3408	3424	3502	3286	3308	3353	3291	3230	3239	3298	3320	3307	3292	3337	3273	3332	3367	3330	3288	3458	3250	3486	3435	3378	3343	3576	3252
0.38111	3958	3609	3418	3739	3351	3380	3355	3355	3327	3376	3271	3307	3287	3309	3509	3473	3304	3261	3382	3278	3252	3198	3294	3250	3393	3258	3307	3318	3350	3216	3388	3248	3511	3201	3295	3411	3251	3322	3346	3267
0.47639	4760	4346	4294	5242	3451	3521	3520	3603	3406	3575	3309	3329	3364	3380	3309	3485	3425	3253	3471	3288	3264	3278	3226	3275	3370	3225	3270	3291	3417	3164	3202	3175	3525	3132	3357	3326	3363	3179	3288	3353
0.57167	7030	6615	6317	8178	4115	3958	4117	4352	3614	3806	3535	3473	3341	3460	3507	3494	3301	3325	3443	3348	3199	3158	3305	3287	3366	3277	3214	3262	3294	3234	3139	3150	3467	3230	3444	3373	3334	3269	3261	3341
0.66694	11659	10995	10190	13107	5685	5059	5402	6109	4305	4735	3946	3824	3530	3606	3665	3561	3340	3441	3533	3318	3288	3317	3408	3222	3319	3259	3203	3238	3244	3218	3201	3153	3397	3252	3435	3257	3305	3354	3303	3309
0.76222	18726	17207	16509	20744	7629	6798	7265	8125	5304	6074	4749	4685	3936	3988	4086	4099	3538	3422	3715	3512	3356	3413	3354	3269	3295	3319	3131	3238	3232	3303	3307	3248	3399	3188	3378	3437	3219	3242	3439	3256
0.8575	25895	24453	23616	28743	10545	9380	10205	10900	6881	7590	5943	5749	4513	4565	4677	4984	3676	3700	3963	3794	3376	3434	3403	3425	3292	3402	3352	3207	3248	3211	3220	3281	3382	3246	3419	3328	3294	3305	3345	3213
0.95278	31346	30316	29058	33518	14247	12843	13882	15095	8656	9855	7624	7422	5259	5467	5564	6172	4067	4150	4322	4150	3355	3453	3525	3419	3385	3351	3347	3401	3339	3305	3277	3355	3424	3180	3458	3298	3360	3252	3422	3281
1.0481	35182	33732	32661	36194	18607	16802	18169	20297	10905	12276	9802	9475	6691	6637	6703	7586	4544	4666	4875	4572	3640	3627	3607	3496	3421	3302	3520	3365	3340	3391	3286	3327	3463	3128	3422	3289	3399	3239	3314	3259
1.1433	36978	36518	35366	38323	22930	20492	22300	24277	13892	14986	12294	12173	8094	8149	7953	9393	5416	5299	5377	5496	3704	3801	3700	3619	3540	3673	3444	3442	3313	3430	3392	3431	3514	3286	3352	3372	3285	3229	3394	3313
1.2386	38379	37785	36678	39576	25818	23929	24875	27341	16748	18149	14926	15201	10006	10006	10102	11228	6289	6251	6332	6370	4116	3994	3887	3849	3620	3724	3668	3736	3388	3606	3574	3459	3544	3190	3374	3413	3366	3281	3375	3311
1.3339	39605	38746	38359	40443	27738	26083	27402	28922	19801	20861	17943	17946	12165	11993	12203	13480	7289	7226	7424	7466	4259	4245	4186	4227	3818	3843	3949	3966	3473	3649	3495	3550	3441	3299	3517	3393	3359	3260	3383	3327
1.4292	39712	39120	39022	41251	28956	28143	28884	30096	21986	22942	20193	20377	14832	14352	14366	15772	8474	8489	8789	8731	4575	4606	4612	4483	4178	4182	3955	4143	3726	3834	3631	3708	3523	3193	3592	3369	3280	3268	3400	3244
1.5244	40362	39892	39711	41723	29997	29506	29762	30352	23877	24692	22265	22066	17098	16760	16754	17871	9894	9998	10209	10202	4991	5064	5051	4873	4448	4426	4417	4376	3898	3969	3798	4010	3551	3297	3627	3549	3376	3339	3465	3270
1.6197	40984	40219	39995	42066	30707	30596	30774	31107	25230	25917	23844	23899	18700	18756	18497	19736	11536	11438	11887	11980	5476	5557	5497	5187	4650	4699	4666	4789	3909	4185	4004	4049	3614	3326	3604	3591	3437	3296	3358	3307
1.715	41255	41511	40250	41873	31113	31104	31370	31492	26336	26953	25595	25157	20741	20321	20271	21251	13039	13120	13423	13731	6066	6243	6116	5797	5212	5245	5116	5152	4150	4316	4167	4309	3658	3334	3712	3642	3400	3396	3336	3266
1.8103	41710	41426	40587	42487	31474	31987	32117	31499	27449	27495	26450	26162	22048	21637	21736	22641	14553	14558	14749	15347	6623	6999	6796	6151	5564	5744	5666	5596	4373	4625	4388	4407	3791	3449	3861	3801	3391	3283	3456	3381
1.9056	41847	41514	41401	42680	32324	32037	32628	31915	27799	28136	27375	27046	23365	23029	22783	23900	15680	16036	16074	16308	7517	7702	7357	6849	6038	6177	6183	5978	4619	4934	4698	4866	3872	3619	3954	3703	3512	3366	3512	3299
2.0008	41895	41869	41564	42738	32410	32616	32339	32417	28034	28480	28274	27400	24239	24154	23898	24242	17256	17467	17347	17543	8276	8453	8248	7489	6349	6689	6737	6654	5074	5167	4989	5241	3850	3517	4102	3800	3566	3301	3386	3322
2.0961	42516	42287	41774	43331	32727	32762	32903	32582	27985	28751	28561	27895	24776	24866	24579	24887	18405	18309	18134	18292	9108	9536	9113	8272	7198	7571	7199	7172	5228	5641	5390	5639	3900	3678	4206	4055	3528	3374	3380	3309
2.1914	42578	42475	42114	43243	32621	32833	32876	32929	28681	29198	28890	28134	25091	25336	25204	25683	19353	19083	19163	19240	9780	10205	10023	9130	7791	7930	7795	7784	5820	6090	5740	6095	4092	3775	4492	4052	3429	3475	3524	3290
2.2867	43035	42999	42192	44089	32760	32924	33330	33269	28410	29340	29075	27852	25831	25828	25771	26332	19702	20143	20050	19819	10704	11234	10746	9696	8441	9024	8756	8537	6041	6443	6193	6371	4281	3922	4515	4182	3464	3596	3435	3357
2.3819	42653	42821	43105	44441	32754	32807	33172	33676	28625	28880	28939	28212	26091	26285	26249	26812	20693	20556	20318	20972	11778	12094	11973	10373	8886	9555	9276	9166	6770	7198	6639	6890	4333	4095	4683	4497	3518	3598	3540	3316
